ID,RouteID,Lat,Lon,Sequence,DistanceTraveled
20681,2,34.8455653,-82.4016592,150,9694.2513151426
20682,2,34.8455653,-82.4016592,151,9694.2513151426
20683,2,34.845494,-82.40172,152,9703.93903549356
20684,2,34.845153,-82.402009,153,9750.17832094744
20685,2,34.844934,-82.402251,154,9783.08935451907
20686,2,34.844857,-82.40235,155,9795.55104675283
20687,2,34.844755,-82.40253,156,9815.53511484067
20688,2,34.8447269,-82.402607,157,9823.23407253281
20689,2,34.844709,-82.402656,158,9828.13401869583
20690,2,34.844664,-82.402825,159,9844.36639247743
20691,2,34.844631,-82.403026,160,9863.09369150589
20692,2,34.8445617,-82.4037552,161,9930.15887147845
20693,2,34.844521,-82.404215,162,9972.4099751393
20694,2,34.844521,-82.404215,163,9972.4099751393
20695,2,34.844473,-82.404229,164,9977.90433426736
20696,2,34.844406,-82.404275,165,9986.46494122989
20697,2,34.8442101,-82.4044852,166,10015.5228181564
20698,2,34.84409,-82.404614,167,10033.3334246015
20699,2,34.843726,-82.404983,168,10086.0441775712
20700,2,34.843453,-82.405245,169,10124.7292683536
20701,2,34.843372,-82.405325,170,10136.3364143981
20702,2,34.843052,-82.405586,171,10179.203028836
20703,2,34.842452,-82.406046,172,10258.1167657009
20704,2,34.842057,-82.406315,173,10308.4900783601
20705,2,34.841948,-82.40636,174,10321.3013217984
20706,2,34.841826,-82.406394,175,10335.2326205542
20707,2,34.850744,-82.39896,176,11538.0641971268
20708,2,34.851558,-82.398591,177,11634.7452097929
20709,2,34.852485,-82.398164,178,11745.0647445703
20710,2,34.8538632,-82.3975444,179,11908.5930659469
20711,2,34.853991,-82.397487,180,11923.7557043233
20712,2,34.853991,-82.397487,181,11923.7557043233
20713,2,34.854075,-82.397469,182,11933.2503571798
20714,2,34.854146,-82.397464,183,11941.1673866908
20715,2,34.854588,-82.397282,184,11993.1035220142
20716,2,34.854858,-82.397156,185,12025.2882681605
20717,2,34.8549254,-82.3971253,186,12033.2983089451
20718,2,34.855293,-82.396958,187,12076.9800402921
20719,2,34.8570122,-82.3962211,188,12279.8535141875
20720,2,34.85715,-82.396162,189,12296.1159098526
20721,2,34.85715,-82.396162,190,12296.1159098526
20722,2,34.8572429,-82.3961232,191,12307.0477618208
20723,2,34.857724,-82.395922,192,12363.6693589727
20724,2,34.8581421,-82.3957472,193,12412.8748561905
20725,2,34.858231,-82.39571,194,12423.3380707228
20726,2,34.858231,-82.39571,195,12423.3380707228
20727,2,34.858315,-82.3956742,196,12433.24476328
20728,2,34.859888,-82.395005,197,12618.7131656647
20729,2,34.8604683,-82.394752,198,12687.3211020462
20730,2,34.861544,-82.394283,199,12814.4997849007
20731,2,34.861544,-82.394283,200,12814.4997849007
20732,2,34.862797,-82.393742,201,12962.477721965
20733,2,34.841329,-82.408641,202,15712.6857590135
20734,2,34.841604,-82.407404,203,15829.7755663362
20735,2,34.841667,-82.407063,204,15861.7099741907
20736,2,34.841699,-82.406861,205,15880.5061211603
20737,2,34.841723,-82.40671,206,15894.5584670833
20738,2,34.841779,-82.406504,207,15914.3850688703
20739,2,34.841826,-82.406394,208,15925.7153691398
